DESCRIÇÃO;COD;PN;FABRIC.;LOCAL;CADASTRO LOCAL;COD LOCAL;status:
SOQUETE 7/8;030-204-00259;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 13/16;030-204-00260;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 3/4;030-204-00261;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 13/16;030-204-00262;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 2;030-204-00263;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 3/4;030-204-00264;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 13/16;030-204-00265;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 1/2;030-204-00266;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 7/16;030-204-00267;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 19/32;030-204-00268;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 7/16;030-204-00269;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 9/16;030-204-00270;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 1/2;030-204-00271;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 13 MM;030-204-00272;;;FERRAMENTARIA;Q4 PRETO;Q4;
 SOQUETE 9/16;030-204-00273;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 5/8;030-204-00274;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 25/32;030-204-00275;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 11/16;030-204-00276;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 11/16;030-204-00277;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 5/8;030-204-00278;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 5/8;030-204-00279;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 25/32;030-204-00280;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 11/16;030-204-00281;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 1/2;030-204-00282;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 11/13;030-204-00283;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 3/4;030-204-00284;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 19/32;030-204-00285;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 11/16;030-204-00286;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 13/16;030-204-00287;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 3/4;030-204-00288;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 7/8;030-204-00289;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 13/16;030-204-00290;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 25/32;030-204-00291;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 19/32;030-204-00292;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 19/32;030-204-00293;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 1/2;030-204-00294;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 11/16;030-204-00295;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 5/8;030-204-00296;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 19/32;030-204-00297;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 7/16;030-204-00298;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 9/16;030-204-00299;;;FERRAMENTARIA;FORA DE USO;FORA DE USO;
SOQUETE 3/8;030-204-00300;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 1/2;030-204-00301;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 11MM;030-204-00302;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 9/16;030-204-00303;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 9/16;030-204-00304;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE  13/32;030-204-00305;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 5/16;030-204-00306;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 5/16;030-204-00307;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 1/4;030-204-00308;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 7/16;030-204-00309;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 12MM;030-204-00310;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 9/16;030-204-00311;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 1/2;030-204-00312;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 19/32;030-204-00313;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 3/8;030-204-00314;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 3/8;030-204-00315;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 3/8;030-204-00316;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 19/32;030-204-00317;;;FERRAMENTARIA;FORA DE USO;FORA DE USO;
SOQUETE 7/16;030-204-00318;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 5/8;030-204-00319;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 1/2;030-204-00320;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 11MM;030-204-00321;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 1/2;030-204-00322;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 7/6;030-204-00323;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 1/2;030-204-00324;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 11;030-204-00325;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 523;030-204-00326;;;FERRAMENTARIA;Q4 PRETO;Q4;
MARTELO;030-204-00327;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE DE FENDA;030-204-00328;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 13/16;030-204-00329;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 13/16;030-204-00330;;;FERRAMENTARIA;Q4 PRETO;Q4;
ADAPTADOR 1/2;030-204-00331;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 5/16;030-204-00332;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 9/16;030-204-00333;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 3/8;030-204-00334;;;FERRAMENTARIA;Q4 PRETO;Q4;
BREAKOUT BOX;030-204-00335;;;FERRAMENTARIA;ESTANTE 5;PRAT 1;
SOQUETE 3/8;030-204-00336;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 1/4;030-204-00337;;;FERRAMENTARIA;Q4 PRETO;Q4;
CONJUNTO DE TESTE DE CAIXA DE AVISO DE STALL GRD E STALL WARN CALIB TEST;030-204-00338;;;FERRAMENTARIA;ESTANTE 5;PRAT 2;
REVERSO TEST BOX;030-204-00339;2024981-1;;FERRAMENTARIA;ESTANTE 5;PRAT SUPERIOR;
CABLAGEM NOTEBOOK MORE;030-204-00340;M85049/52-1;;FERRAMENTARIA;ESTANTE 4;PRAT 2;
Y2K TEST;030-204-00342;TS1100D;;FERRAMENTARIA;ESTANTE 4;PRAT 3;
KIT DE CARGA DA COBERTURA REVERSO TEST BOX;030-204-00343;;;FERRAMENTARIA;ESTANTE 5;PRAT 1;
MALETA NOTEBOOK KIT MORE;030-204-00344;;;FERRAMENTARIA;ESTANTE 5;PRAT 1;
BOROSCOPIO;030-204-00345;;;FERRAMENTARIA;ESTANTE 2;PRAT 5;
MALETA KIT MORE;030-204-00346;;;FERRAMENTARIA;ESTANTE 5;PRAT 3;
SISTEMA DE MANUTENÇÃO DO COMPUTADOR;030-204-00347;930-600066-000;;FERRAMENTARIA;ESTANTE 4;PRAT 2;
DOWNLOAD - KIT ECTM LJ 45 AILERON;030-204-00349;12245-060-001;;FERRAMENTARIA;ESTANTE 4;PRAT 1;
DOWNLOAD - KIT ECTM LJ 45;030-204-00350;;;FERRAMENTARIA;ESTANTE 5;PRAT 3;
MALETA DRIMEL;030-204-00351;;;FERRAMENTARIA;ESTANTE 1;PRAT 5;
NOTEBOOK LEARJET 45;030-204-00352;;;FERRAMENTARIA;ESTANTE 2;PRAT 5;
ADAPTADOR DE CABO;030-204-00353;;;FERRAMENTARIA;ESTANTE 4;PRAT 1;
CAIXA DE TESTE DE INTERRUPTORES SQUAT MODELO 45;030-204-00354;ECTM1/2;;FERRAMENTARIA;ESTANTE 4;PRAT 3;
KIT DE MANUTENÇÃO/REPARO PARA AERONAVES CESSNA CITATION;030-204-00355;114-506;;FERRAMENTARIA;ESTANTE 4;PRAT 1;
CONJUNTO DE TESTE DE INTERRUPÇÃO DO SISTEMA NWS;030-204-00356;1284-0029-00;;FERRAMENTARIA;ESTANTE 4;PRAT 1;
KIT NOSE WHEEL STERING;030-204-00357;1284-208-001;;FERRAMENTARIA;ESTANTE 4;SUPERIOR;
KIT SHROUD CHARGING;030-204-00358;B4C/M128;;FERRAMENTARIA;ESTANTE 5;PRAT 2;
INSPECTION CHECK OF AILERON;030-204-00359;CCSC3250-01;;FERRAMENTARIA;ESTANTE 4;PRAT 3;
TEST ADAPTER BOX;030-204-00360;G600-320015-1;;FERRAMENTARIA;ESTANTE 4;PRAT 5;
ADAPTER CABLE SERVICE AMORTECEDOR;030-204-00361;G601-280020-1;;FERRAMENTARIA;ESTANTE 4;PRAT 5;
CHECK ALERO E RUDER;030-204-00362;277020-1;;FERRAMENTARIA;ESTANTE 4;PRAT 6;
TESTE DE SPOILER;030-204-00363;12860-921-001;;FERRAMENTARIA;ESTANTE 4;PRAT 6;
CAIXA DE TESTE RODAS;030-204-00364;12845-263-001;;FERRAMENTARIA;ESTANTE 3;PRAT 1;
BALANCE FIXTURE ALLERON, RUDDER;030-204-00365;12845-271-001;;FERRAMENTARIA;ESTANTE 3;PRAT 1;
ADAPTADOR DE CABO;030-204-00366;12845-267-005;;FERRAMENTARIA;ESTANTE 3;PRAT 1;
FIXADOR DE BALANÇA;030-204-00367;;;FERRAMENTARIA;ESTANTE 2;PRAT 5;
CONJUNTO DE TESTE DE FUGA DO SISTEMA DE CONTROLE DE FLAP;030-204-00368;NR24226;;FERRAMENTARIA;ESTANTE 3;PRAT 4;
FUEL FLOW CONV. TEST SET;030-204-00369;2671007-6;;FERRAMENTARIA;ESTANTE 4;PRAT 3;
CABLAGEM DO SERVO ATUADOR;030-204-00370;CCSC2750-01;;FERRAMENTARIA;ESTANTE 3;PRAT 3;
VERIFICADOR POTENCIA REVERSOR;030-204-00371;CCSC7830-04;;FERRAMENTARIA;ESTANTE 3;PRAT B;
DISPOSITIVO DE ALINHAMENTO DO DISCO ROTOR FREIO;030-204-00372;;;FERRAMENTARIA;ESTANTE 3;PRAT 2;
ADAPTER CABLE ;030-204-000651;101-00438;;FERRAMENTARIA;ESTANTE 4;PRAT 4;
ADAPTADOR ATUADOR;030-204-00373;3170015-1;;FERRAMENTARIA;ESTANTE 4;PRAT 4;
PINO TRAVAMENTO SOLO TREM DE POUSO;030-204-00374;14-6863-400;;FERRAMENTARIA;ESTANTE 3;PRAT 4;
BOROSCOPIO-USA;030-204-00345;TN 37043;;FERRAMENTARIA;ESTANTE 6;PRAT 3;
BLOCO DE IMPLANTAÇÃO DE BLOQUEIO DE REV. DE IMPULSOS;030-204-00376;;;FERRAMENTARIA;ESTANTE 3;PRAT 3;
THRUST REVERSER;030-204-00378;;;FERRAMENTARIA;ESTANTE 2;PRAT 5;
CONJUNTO DE TESTE DE FUGA DO SISTEMA DE PROTEÇÃO DE STOL;030-204-00379;2471001-1;;FERRAMENTARIA;ESTANTE 3;PRAT D;
PROXOMITY ADJUSTMENT;030-204-00377;14-6870-600;;FERRAMENTARIA;ESTANTE 3;PRAT 4;
ADAPTADOR DE CABLAGEM;030-204-00380;101-00471;;FERRAMENTARIA;ESTANTE 4;PRAT 4;
KIT DE CABOS ADAPTADORES;030-204-00381;CCSC2739-04;;FERRAMENTARIA;ESTANTE 3;PRAT 3;
PINO TRAVAMENTO SOLO TREM DE POUSO;030-204-00382;;;FERRAMENTARIA;ESTANTE 5;DESATIVADO;
PINO TRAVAMENTO SOLO TREM DE POUSO;030-204-00383;CCSC7830-5;;FERRAMENTARIA;ESTANTE 4;PRAT 1;
REVERSOR DE IMPULSOS;030-204-00384;14-6897-6040;;FERRAMENTARIA;ESTANTE 3;PRAT 4;
FERRAMENTA PITOT LOC;030-204-00385;14-6897-6000;;FERRAMENTARIA;ESTANTE 3;PRAT 4;
TESTADOR DE BICO INJETOR;030-204-00386;157836799-1;;FERRAMENTARIA;ESTANTE 3;PRAT 5;
ELEVADOR RIG FIXTUBE - LEARJET;030-204-00387;12845-209-001;;FERRAMENTARIA;ESTANTE 3;PRAT 5;
RIG ELEVATOR;030-204-00388;TN623626;;FERRAMENTARIA;ESTANTE 3;PRAT 6;
TEST ADAPTER BOX;030-204-00389;G600-320015-1;;FERRAMENTARIA;ESTANTE 3;PRAT 6;
FERRAMENTA DE BALANCEAMENTO DE PNEU DE NARIZ;030-204-00390;2471002-010;;FERRAMENTARIA;ESTANTE 3;PRAT SUPERIOR;
MHASTERCOOL 91580-B SINGLE STAGE CHARGING STATION;030-204-00391;;;FERRAMENTARIA;ESTANTE 3;PRAT SUPERIOR;
ASPIRADOR;030-204-00392;;;FERRAMENTARIA;FERRAMENTARIA;PISO ;
CAIXA DE DESLIGAMENTO DO SINCROFASADOR;030-204-00393;;;FERRAMENTARIA;FERRAMENTARIA;SOLO;
MAQUINA A/C AR CONDICIONADO;030-204-00394;;;FERRAMENTARIA;FERRAMENTARIA;SOLO;
BREAKOUT BOX;030-204-00396;SYNCHROPHASER;;FERRAMENTARIA;ESTANTE 3;PRAT 4;
SQUAT SWITCH SIMULATOR MLG LH;030-204-00397;;;FERRAMENTARIA;ESTANTE 1;PRAT 1;
SQUAT SWITCH SIMULATOR NOSE;030-204-00398;;;FERRAMENTARIA;ESTANTE 1;PRAT 1;
SQUAT SWITCH SIMULATOR MLG RH;030-204-00399;;;FERRAMENTARIA;ESTANTE 1;PRAT 1;
CABO DE FIAÇÃO;030-204-00400;;;FERRAMENTARIA;ESTANTE 1;PRAT 1;
TESTE DE MON DE SOBRETENSÃO;030-204-00401;;;FERRAMENTARIA;ESTANTE 1;PRAT 1;CAIXA VAZIA QUARENTENA
TEST SET HARNESS;030-204-00402;;;FERRAMENTARIA;ESTANTE 1;PRAT 2;
KIT VAZADOR (18PÇS);030-204-00403;;;FERRAMENTARIA;ARMARIO 2;PRAT 5;
CHAVE ADAPTADA 7/8 ;030-204-00404;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1;
KIT HSI;030-204-00405;;;FERRAMENTARIA;ESTANTE 1;PRAT 3;
TRAVA DE SUPERFICIE;030-204-00406;;;FERRAMENTARIA;ESTANTE 1;PRAT 3;
WING CABLE;030-204-00407;;;FERRAMENTARIA;ESTANTE 1;PRAT 2;
OVERVOLTAGE TEST;030-204-00408;;;FERRAMENTARIA;ESTANTE 1;PRAT 2;
SONDA DE TEMPERATURA;030-204-00409;;;FERRAMENTARIA;ESTANTE 1;PRAT 2;
TRAVA DE SUPERFICIE;030-204-00410;;;FERRAMENTARIA;ESTANTE 1;PRAT 3;
RIGGING PIN;030-204-00411;;;FERRAMENTARIA;ESTANTE 1;PRAT 2;
HASTE;030-204-00412;;;FERRAMENTARIA;ESTANTE 2;PRAT 5;
HOOK ASSY;030-204-00413;;;FERRAMENTARIA;ESTANTE 2;PRAT 5;
HOOK ASSY;030-204-00414;;;FERRAMENTARIA;ESTANTE 2;PRAT 5;
HOOK ASSY;030-204-00415;;;FERRAMENTARIA;ESTANTE 2;PRAT 5;
HOOK ASSY;030-204-00416;;;FERRAMENTARIA;ESTANTE 2;PRAT 5;
FERRAMENTA PARA CHECK PROB KING AIR;030-204-001121;;;FERRAMENTARIA;ESTANTE 2;PRAT 5;
FERRAMENTA PARA CHECK PROB KING AIR;030-204-001122;;;FERRAMENTARIA;ESTANTE 2;PRAT 5;
HOOK ASSY;030-204-00417;;;FERRAMENTARIA;ESTANTE 2;PRAT 5;
HOOK ASSY;030-204-00418;;;FERRAMENTARIA;ESTANTE 2;PRAT 5;
HOOK ASSY;030-204-00419;;;FERRAMENTARIA;ESTANTE 2;PRAT 5;
HOOK ASSY;030-204-00420;;;FERRAMENTARIA;ESTANTE 2;PRAT 5;
HOOK ASSY;030-204-00421;;;FERRAMENTARIA;ESTANTE 2;PRAT 5;
CHAVE ADAPTADA ;030-204-00422;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
CHAVE ADAPTADA ;030-204-00423;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
EXTRATATOR;030-204-00424;;;FERRAMENTARIA;ESTANTE 2;PRAT 3;
P-KIT INSPECTION PRISM KIT;030-204-00425;;;FERRAMENTARIA;ESTANTE 2;PRAT 2;
PUXADOR / ELEVADOR;030-204-00426;;;FERRAMENTARIA;Q5 PRETO;Q5;
TRAVA AMARELA;030-204-00427;;;FERRAMENTARIA;ESTANTE 2;PRAT 2;
CASTANHA DE MACACO LEARJET;030-204-00428;;;FERRAMENTARIA;ESTANTE 2;PRAT 3;
SPACER;030-204-00429;;;FERRAMENTARIA;ESTANTE 2;PRAT 2;
SPACER;030-204-00430;;;FERRAMENTARIA;ESTANTE 2;PRAT 2;
SPACER;030-204-00431;;;FERRAMENTARIA;ESTANTE 2;PRAT 2;
SPACER;030-204-00432;;;FERRAMENTARIA;ESTANTE 2;PRAT 2;
SUPORTE DE MACACO 2/6;030-204-00433;;;FERRAMENTARIA;ESTANTE 2;PRAT 4;
SUPORTE DE MACACO 3/6;030-204-00434;;;FERRAMENTARIA;ESTANTE 2;PRAT 4;
RETIFICA PNEUMATICA HSI;030-204-00435;;;FERRAMENTARIA;ESTANTE 2;PRAT 2;
SUPORTE DE MACACO 5/6;030-204-00436;;;FERRAMENTARIA;ESTANTE 2;PRAT 4;
CASTANHA;030-204-00437;;;FERRAMENTARIA;ESTANTE 2;PRAT 4;
CASTANHA ;030-204-00438;;;FERRAMENTARIA;ESTANTE 2;PRAT 4;
CASTANHA ;030-204-00439;;;FERRAMENTARIA;ESTANTE 2;PRAT 4;
CASTANHA ;030-204-00440;;;FERRAMENTARIA;ESTANTE 2;PRAT 4;
CASTANHA ;030-204-00441;;;FERRAMENTARIA;ESTANTE 2;PRAT 4;
CASTANHA ;030-204-00442;;;FERRAMENTARIA;ESTANTE 2;PRAT 4;
CASTANHA;030-204-00443;;;FERRAMENTARIA;ESTANTE 2;PRAT 4;
CASTANHA ;030-204-00444;;;FERRAMENTARIA;ESTANTE 2;PRAT 4;
CASTANHA ;030-204-00445;;;FERRAMENTARIA;ESTANTE 2;PRAT 4;
CASTANHA;030-204-00446;;;FERRAMENTARIA;ESTANTE 2;PRAT 4;
CASTANHA ;030-204-00447;;;FERRAMENTARIA;ESTANTE 2;PRAT 4;
CASTANHA ;030-204-00448;;;FERRAMENTARIA;ESTANTE 2;PRAT 4;
CASTANHA CITATION;030-204-00449;;;FERRAMENTARIA;ESTANTE 2;PRAT 4;
CASTANHA DOURADA;030-204-00450;;;FERRAMENTARIA;FORA DE USO;FORA DE USO;
MARTELETE PNEUMATICO;030-204-00451;;;FERRAMENTARIA;Q5 PRETO;Q5;
FERR PRATA 1/2;030-204-00452;;;FERRAMENTARIA;ESTANTE 2;PRAT 4;
FERR DOURADA 2/2;030-204-00453;;;FERRAMENTARIA;ESTANTE 2;PRAT 4;
SUPORTE MACACO;030-204-00454;;;FERRAMENTARIA;ESTANTE 2;PRAT 4;
FERR PRETA 1/2;030-204-00455;;;FERRAMENTARIA;ESTANTE 2;PRAT 4;
FERR PRETA 2/2;030-204-00456;;;FERRAMENTARIA;ESTANTE 2;PRAT 4;
ALICATE DE CORTA REBITE;030-204-00457;;;FERRAMENTARIA;Q5 PRETO;Q5;
CRECO;030-204-00458;;;FERRAMENTARIA;ESTANTE 1;PRAT 4;
FURADEIRA;030-204-00459;;;FERRAMENTARIA;CARRINHO CHAPEADOR;BASE SOD;
MARTELETE PNEUMATICO;030-204-00460;;;FERRAMENTARIA;CARRINHO CHAPEADOR;BASE SOD;
RETIFICA PNEUMATICA;030-204-00461;;;EMANUEL;CARRINHO CHAPEADOR;BASE SOD;
FURADEIRA;030-204-00462;;;EMANUEL;CARRINHO CHAPEADOR;BASE SOD;
FURADEIRA;030-204-00463;;;EMANUEL;CARRINHO CHAPEADOR;BASE SOD;
ALICATE REBITADOR;030-204-00464;;;EMANUEL;CARRINHO CHAPEADOR;BASE SOD;
PISTOLA APLICADORA;030-204-00465;;;EMANUEL;CARRINHO CHAPEADOR;BASE SOD;
ALICATE DE CORTE CHAPA;030-204-00466;;;EMANUEL;CARRINHO CHAPEADOR;BASE SOD;
SERRA COPO;030-204-00467;;;EMANUEL;ESTANTE 1;PRAT 5;
FURADEIRA;030-204-00468;;;EMANUEL;CARRINHO CHAPEADOR;BASE SOD;
REBITADEIRA COMUM;030-204-00469;;;FERRAMENTARIA;ESTANTE 1;PRAT 5;
MARTELETE PNEUMATICO;030-204-00470;;;EMANUEL;CARRINHO CHAPEADOR;BASE SOD;
SOPRADOR TERMICO ;030-204-00471;;;FERRAMENTARIA;ARMARIO 2;PRAT 5;
ALICATE DE GLECO ;030-204-00472;;;EMANUEL;CARRINHO CHAPEADOR;BASE SOD;
CORTADOR DE REBITE ;030-204-00473;;;FERRAMENTARIA;CARRINHO CHAPEADOR;BASE SOD;
CLECOS AJUSTAVEIS  (38EA);030-204-00474;;;EMANUEL;CARRINHO CHAPEADOR;BASE SOD;
CLECOS PROFUNDIDADE (10EA);030-204-00475;;;EMANUEL;CARRINHO CHAPEADOR;BASE SOD;
CLECOS JACARE (10EA);030-204-00476;;;EMANUEL;CARRINHO CHAPEADOR;BASE SOD;
ESCAREADORES AJUSTAVEIS;030-204-00477;;;EMANUEL;CARRINHO CHAPEADOR;BASE SOD;
GLIFON;030-204-00478;;;EMANUEL;BASE CGH;CHG;
REBITADEIRA COMUM;030-204-00479;;;EMANUEL;CARRINHO;BASE SOD;
CASTANHA;030-204-00479;;;FERRAMENTARIA;ESTANTE 2;PRAT 4;
LIMA AZUL;030-204-00480;;;FABRICIO CGH;FORA DE USO;FORA DE USO;
ALICATE DE CORTA CHAPA;030-204-00481;;;CHAPEADOR MANU;CARRINHO;BASE SOD;
CAIXA SERRA COPO (12ea copos);030-204-00482;;;FERRAMENTARIA;CARRINHO;BASE SOD;
ALICATE DE CHAPEARIA PRETO;030-204-00483;;;CHAPEADOR MANU;CARRINHO;BASE SOD;
DIMPLE ;030-204-00484;;;CHAPEADOR MANU;CARRINHO;BASE SOD;
FERRAMENTA DE RIVET;030-204-00485;;;CHAPEADOR MANU;CARRINHO;BASE SOD;
SOQUET PRATA TBM  2EA;030-204-00486;;;FERRAMENTARIA;ESTANTE 1;PRAT 4;
CHAVE PRETA ESPECIAL GRANDE;030-204-00487;;;CHAPEADOR MANU;Q2 AZUL TREM DE POUSO;Q2;
CHAVE PRETA ESPECIAL PEQUENA;030-204-00488;;;FERRAMENTARIA ;Q2 AZUL TREM DE POUSO;Q2;
CAIXA DE BROCA VERMELHA;030-204-00489;;;FERRAMENTARIA;ESTANTE 1;PRAT 4;
CHAVE COMBINADA 30MM;030-204-00490;;;FERRAMENTARIA ;Q4 PRETO;Q4;
KIT FLANGEADORA;030-204-00491;;;FERRAMENTARIA;ESTANTE 3;PRAT 5;
CHAVE ADAPTADA 3/8;030-204-00492;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
CHAVE DOURADA ;030-204-00493;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
TONE GENERATOR TEST SET;030-204-00494;;;FERRAMENTARIA;ESTANTE 1;PRAT 2;
CABOS DE LIGAÇÃO;030-204-00495;;;FERRAMENTARIA;ESTANTE 1;PRAT 2;
CONECTOR PARA BANCADA HIDRULICA LEARJET GRANDE ;030-204-00496;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
CONECTOR PARA BANCADA HIDRULICA LEARJET PEQUENO;030-204-00497;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
KIT DE LUBRIFICAÇÃO;030-204-00498;;;FERRAMENTARIA;ARMARIO 2;PRAT 4;
KIT MARTELINHO;030-204-00499;;;FERRAMENTARIA;ESTANTE 1;PRAT 2;
REMOVAL TOLL NUT MLG;030-204-00500;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
CHAVE PWC34295;030-204-00501;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
ALICATE DE ANEL VERMELHO;030-204-00502;;;FERRAMENTARIA;Q4 PRETO;Q4;
ALICATE DE ANEL RETO VERDE PEQ. ABRINDO;030-204-00503;;;FERRAMENTARIA;Q4 PRETO;Q4;
ALICATE DE ANEL CURVO FECHANDO PEQ.;030-204-00504;;;FERRAMENTARIA;Q4 PRETO;Q4;
ALICATE DE ANEL CURVO ABRINDO PEQ.;030-204-00505;;;FERRAMENTARIA;Q4 PRETO;Q4;
ALICATE DE ANEL RETO ABRINDO GRAND.;030-204-00506;;;FERRAMENTARIA;Q4 PRETO;Q4;
ALICATE ANEL RETO FECHANDO GRANDE  ;030-204-00507;;;FERRAMENTARIA;Q4 PRETO;Q4;
"ALICATE ANEL CURVO ABRINDO FECHANDO GRANDE 9""";030-204-00508;;;FERRAMENTARIA;Q4 PRETO;Q4;
ALICATE ANEL CURVO ABRINDO GRANDE;030-204-00509;;;FERRAMENTARIA;Q4 PRETO;Q4;
KIT MAINTENANCE;030-204-00510;;;FERRAMENTARIA;ESTANTE 1;PRAT 4;
HHASTE;030-204-00511;;;FERRAMENTARIA;ESTANTE 1;PRAT 3;
KIT DIGITAL TIRE GAUGE;030-204-00512;;;FERRAMENTARIA;ESTANTE 01;PRAT 3;
HASTE;030-204-00513;;;FERRAMENTARIA;ESTANTE 4;PRAT 2;
HASTE;030-204-00514;;;FERRAMENTARIA;ESTANTE 01;PRAT 3;
MAQUINA LIMPEZA;030-204-00515;;;FERRAMENTARIA;ESTANTE 2;PRAT 2;
SUPORTE DA MANICA DOURADO;030-204-00516;;;FERRAMENTARIA;ESTANTE 1;PRAT 3;
SUPORTE DA MANICA DOURADO PEQ ;030-204-00517;;;FERRAMENTARIA;ESTANTE 1;PRAT 3;
SUPORTE DA MANICA DOURADO PEQ;030-204-00518;;;FERRAMENTARIA;ESTANTE 1;PRAT 3;
SUPORTE DE MANICA DOURADO PEQ;030-204-00519;;;FERRAMENTARIA;ESTANTE 1;PRAT 3;
SUPORTE DE MANICA PRATA GRANDE ;030-204-00520;;;FERRAMENTARIA;ESTANTE 1;PRAT 3;
SUPORTE DE MANICA PRATA GRANDE ;030-204-00521;;;FERRAMENTARIA;ESTANTE 01;PRAT 3;
SUPORTE DE MANICA PRATA GRANDE ;030-204-00522;;;FERRAMENTARIA;ESTANTE 01;PRAT 3;
SUPORTE DE MANICA PRATA GRANDE ;030-204-00523;;;FERRAMENTARIA;ESTANTE 1;PRAT 3;
SUPORTE DE MANICA PRATA;030-204-00524;;;FERRAMENTARIA;ESTANTE 1;PRAT 3;
