INSTRUMENTO / FERRAMENTA;MODELO;P/N;S/N;IDENTIF.SOD;IDENTIF. CGH;CERTIFICADO;DATA DE CALIBRAÇÃO;EXPIRAÇÃO;SITUAÇÃO;EXECUTANTE;INSTALADA NO EQUIPAMENTO;LOCAL;SUB LOCALIZAÇÃO;FOTOS;MECÂNICO;OBSERVAÇAO;CERTIFICADO_PDF
MANÔMETRO 21 kgf/cm2;N/C;N/C;N/C;030-205-00092;;262635/24;26/08/2024;26/08/2025;VENCIDO;CALIBRACOM;N/A;CALIBRACOM;CALIBRACOM;;;;
MANÔMETRO 21 kgf/cm2;N/C;N/C;N/C;030-205-00093;;262639/24;26/08/2024;26/08/2025;VENCIDO;CALIBRACOM;N/A;CALIBRACOM;CALIBRACOM;;;;
MANÔMETRO 240C;N/C;185324;N/C;030-205-00075;;100236/24;19/04/2024;19/04/2025;VENCIDO;MEDIÇÃO;BANCADA HIDRAULICA 030-204-00724; PISO 0;ÚLTIMO ESTACIONAMENTO;;;;
MANÔMETRO 30 PSI;N/C;CGH3.0141;N/C;030-205-00069;;7145/25;29/07/2025;29/07/2026;CALIBRADO;STARTLAB;CABINE PRESSURIZAÇÃO 030-204-00717;PISO 2;MEIO DO HANGAR;;;;
MANÔMETRO 300 PSI;VERIFICAR;CGH3.0149;VERIFICAR;030-205-00047;;7147/25;29/07/2025;29/07/2026;CALIBRADO;STARTLAB;N/A;ARMARIO 1;PRATELEIRA 3 - CX PAPELAO;;;;
MANÔMETRO 300 PSI;N/C;SOD1.0002;N/C;030-205-00048;;5913/25;26/06/2025;26/06/2026;CALIBRADO;STARLAB;CALIBRADOR DE NITROGENIO;ARMARIO 1;PRATELEIRA 3;;;;
MANÔMETRO 3000 lbf/pol;N/C;SOD1.3177;N/C;030-205-00033;;8252/2025;09/09/2025;09/09/2026;CALIBRADO;MEDIÇÃO;N/A;ARMARIO 1;PRATELEIRA 3 - CX VERMELHA;;;;
MANÔMETRO 3000 lbf/pol;N/C;SOD1.3059;N/C;030-205-00030;;8248/2025;09/09/2025;09/09/2026;CALIBRADO;STARTLAB;;ARMARIO 1;PRATELEIRA 3 - CX PAPELAO;;;;
MANÔMETRO 3000 PSI;N/C;SOD1.0011;N/C;030-205-00062;;9331/24;02/10/2024;02/10/2025;VENCIDO;CALIBRACOM;N/A;CALIBRACOM;CALIBRACOM;;;;
MANÔMETRO 3000 PSI;VERIFICAR;SOD1.3176;VERIFICAR;030-205-00054;;8255/2025;09/09/2025;09/09/2026;CALIBRADO;;N/A;ARMARIO 1;PRATELEIRA 3 - CX VERMELHA;;;;
MANÔMETRO 5000 PSI;N/C;CGH3.2235;N/C;030-205-00016;;9321/24;02/10/2024;02/10/2025;VENCIDO;CALIBRACOM;N/A;CALIBRACOM;CALIBRACOM;;;;
MANÔMETRO 315 PSI;N/C;SOD1.0020;N/C;030-205-00028;;8267/2025;09/09/2025;09/09/2026;CALIBRADO;STARTLAB;N/A;ARMARIO 1;PRATELEIRA 3 - CX PAPELAO;;;;
MANÔMETRO 400 PSI;N/C;187605;32868;030-205-00074;;100201/24;19/04/2024;19/04/2025;VENCIDO;MEDIÇÃO;BANCADA HIDRAULICA 030-204-00724; PISO 0;ÚLTIMO ESTACIONAMENTO;;;;
