INSTRUMENTO / FERRAMENTA;MODELO;P/N;S/N;IDENTIF.SOD;IDENTIF. CGH;CERTIFICADO;DATA DE CALIBRAÇÃO;EXPIRAÇÃO;SITUAÇÃO;EXECUTANTE;INSTALADA NO EQUIPAMENTO;LOCAL;SUB LOCALIZAÇÃO;FOTOS;MECÂNICO;OBSERVAÇAO;CERTIFICADO_PDF
MANOMETRO OXIG.;N/C;N/C;N/C;030-205-001106;;N/C;15/09/2024;15/09/2025;VENCIDO;N/C;N/C;HANGAR;CILINDRO OXIGENIO;;;;
MANOMETRO 4500 PSI / OXIG.;N/C;N/C;N/C;030-205-001107;;N/C;15/09/2024;15/09/2025;VENCIDO;CALIBRACOM;N/A;CALIBRACOM;CALIBRACOM;;;;
MANÔMETRO-MAGNEHELIC;N/C;CGH3.0142;N/C;030-205-00065;;7326/25;04/08/2025;04/08/2026;CALIBRADO;STARTLAB;CABINE PRESSURIZAÇÃO 030-204-00717;PISO 2;MEIO DO HANGAR;;;;
MANOVACUÔMETRO 140 PSI;N/C;SOD1.0035;N/C;030-205-00061;;7153/25;29/07/2025;29/07/2026;CALIBRADO;STARTLAB;MAQUINA DE A/C AR CONDICIONADO 030-204-00394;ARMARIO 1;PRATELEIRA 2;;;;
MANOVACUÔMETRO 30 BAR;N/C;SOD1.0034;N/C;030-205-00060;;7152/25;29/07/2025;29/07/2026;CALIBRADO;STARTLAB;REGULADOR 030-204-00711;ARMARIO 1;PRATELEIRA 3 - CX VERMELHA;;;;
MULTIMETRO FLUKE;106;;;030-205-00106;;7297/25;01/08/2025;01/08/2026;CALIBRADO;STARTLAB;N/A;ARMARIO 1;PRATELEIRA 1;;;;
MEGÔMETRO;MI-2552;SOD1.3228;2681516;030-205-00037;;9203/2025;29/09/2025;29/09/2026;CALIBRADO;MEDIÇÃO;N/A;ARMARIO 1;PRATELEIRA 1;;;;
MEGOMETRO DIGITAL;MI-1000A;MI-1000A;4633707;030-205-001095;;N/C;22/09/2024;22/09/2025;VENCIDO;CALIBRACOM;N/A;CALIBRACOM;CALIBRACOM;;;;
MICROMETRO EXTERNO;;;;;;;;;;;;;PRATELEIRA 3;;;;
MICROMETRO EXTERNO;;;;;;;;;;;;;PRATELEIRA 3;;;;
MICROVIB ll-ANALISADOR DE AERONAVE;N/C;1117-2;N/C;030-205-00097;;DSS0022025;21/05/2025;21/05/2026;CALIBRADO;NEW BEC;N/A;ESTANTE 5;PRATELEIRA 1;;;;
MINI ALICATE AMIPERIMETRO;ET-3320A;ET-3320A;4579221;030-205-001096;;N/C;22/09/2024;22/09/2025;VENCIDO;CALIBRACOM;N/A;CALIBRACOM;CALIBRACOM;;;;
ALICATE AMPERIMETRO;DT266;;2109327203;030-205-00220;;;06/10/2024;06/10/2025;VENCIDO;CALIBRACOM;N/A;CALIBRACOM;CALIBRACOM;;;;
MULTIMETRO 200 Mvcc;YN-360 TR N;N/C;N/C;030-205-00038;;9202/2025;29/09/2025;29/09/2026;CALIBRADO;STARTLAB;;ARMARIO 1;PRATELEIRA 1;;;;
MULTIMETRO FLUKE;4228705;117;68191218MV;030-205-001079;;;15/09/2024;15/09/2025;VENCIDO;CALIBRACOM;N/A;CALIBRACOM;CALIBRACOM;;;;
PAQUIMETRO DIGITAL 0-150mm;N/C;SOD1.0001;N/C;030-205-00050;;10761/24;19/11/2024;19/11/2025;CALIBRAR;MEDIÇÃO;N/A;ARMARIO 1;PRATELEIRA 2;;;;
PAQUIMETRO DIGITAL 0-300mm;N/C;SOD1.3225;N/C;030-205-00051;;10750/24;19/11/2024;19/11/2025;CALIBRAR;MEDIÇÃO;N/A;ARMARIO 1;PRATELEIRA 2;;;;
TERMO-HIGROMETRO;EOS;HTC-1;N/C;030-205-001123;;N/C;22/09/2024;22/09/2025;VENCIDO;CALIBRACOM;N/A;CALIBRACOM;CALIBRACOM;;;;
PITOT  STATIC TEST SET-AIR DATA;1811H466;101-00168;678;030-205-00017;;250917/23;04/08/2023;03/08/2024;VENCIDO;RGD;N/A;PISO 0 ESTANTE 04;ESTANTE 05;;;;
PONTE LCR PORTATIL;HX-120;;;030-205-001060;;7299/25;01/08/2025;01/08/2026;CALIBRADO;STARTLAB;N/A;ARMARIO 1;PRATELEIRA 1;;;;
RELOGIO COMPARADOR 0-10MM;MITUTOYO;HRE501;20465;033-205-00013;;10788/24;21/01/2024;20/01/2025;VENCIDO;STARLAB;N/A;ARMARIO 1;PRATELEIRA 1;;;;
TENSÍOMETRO 40-200 lbs;C8;T60-1001-C8-1A;33140;030-205-00001;;8987/2025;23/09/2025;23/09/2026;CALIBRADO;STARTLAB;N/A;ARMARIO 1;PRATELEIRA 1;;;;
TENSÍOMETRO DE CABO 0-100 lbs;T5-2002-101-00;CGH3.2183;28817;030-205-00005;;8986/2025;23/09/2025;23/09/2026;CALIBRADO;STARTLAB;N/A;ARMARIO 1;PRATELEIRA 1;;;;
TESTADOR DE TEMPERATURA TURBINA BARFIELD;;;;;;;;;;;;ARMARIO 1;PRATELEIRA 2;;;;
TERMÔMETRO  52 FLUKE ;52-II;52II;N/C;030-205-00004;;8985/2025;23/09/2025;23/09/2026;CALIBRADO;MEDIÇÃO;N/A;ARMARIO 1;PRATELEIRA 1;;;;
TORQUÍMETRO 10-50 in-lb;QD1R50A;SOD1.3111;621904613;030-205-00009;;9006/2025;23/09/2025;23/09/2026;CALIBRADO;MEDIÇÃO;N/A;ARMARIO 1;PRATELEIRA 2;;;;
TORQUIMETRO 10-75 lbf;N/C;SOD1.0014;31424;030-205-00010;;9015/2025;23/09/2025;23/09/2026;CALIBRADO;STARTALAB;N/A;ARMARIO 1;PRATELEIRA 2;;;;
TORQUIMETRO 15-100 FT;QJR2100 D;QJR2100D;12840026650;033-205-00109;CGH3.0005;578/25;15/01/2025;15/01/2026;CALIBRADO;STARTLAB;N/A;ARMARIO 1;PRATELEIRA 2;;;;
MICROMETRO EXTERNO DIGITAL;MTK-4284;;655140;030-205-00801;;42847-0065;17/04/2025;17/04/2026;CALIBRADO;METROTOKYO;N/A;ARMARIO 1;PRATELEIRA 2;;;;
MICROMETRO EXTERNO DIGITAL;MTK-4284;;649584;030-205-00802;;4285-0018;10/10/2025;10/10/2026;CALIBRADO;METROTOKYO;N/A;ARMARIO 1;PRATELEIRA 2;;;;
TORQUIMETRO 200-100 in-lb;QD2R1000A;SOD1.3095;21114813;030-205-00012;;9009/2025;23/09/2025;23/09/2026;CALIBRADO;MEDIÇÃO;N/A;ARMARIO 1;PRATELEIRA 2;;;;
TORQUIMETRO 20-150 FT;CRAFTSMAN;44593;5060834111;033-205-00058;CGH3.0062;4228/25;17/04/2025;17/04/2026;CALIBRADO;STARTLAB;N/A;ARMARIO 1;PRATELEIRA 2;;;;
TORQUIMETRO 20-150IN-LB;TORQUE PRODUCTS;MRMH-CDI;1111114611;CGH3.2296;CGH3.2296;7138/25;28/07/2025;28/07/2026;CALIBRADO;STARTLAB;N/A;ARMARIO 1;PRATELEIRA 2;;;;
TORQUIMETRO 40-200 in-lb;QD1R200A;QD1R200A;621902534;030-205-00007;;9002/2025;23/09/2025;23/09/2026;CALIBRADO;MEDIÇÃO;N/A;ARMARIO 1;PRATELEIRA 2;;;;
TORQUÍMETRO 500-2500 in-lb;QD3R2500A;SOD1.3096;521110201;030-205-00011;;9023/2025;23/09/2025;23/09/2026;CALIBRADO;MEDIÇÃO;N/A;ARMARIO 1;PRATELEIRA 2;;;;
VERTICAL SPEED INDICATOR ;;;;;;;;;;;;;MEIO DO HANGAR;;;;
DENSIMETRO DE VIDRO;N/C;PH12;;030-205-001017;;360/2025;01/08/2025;01/08/2026;CALIBRADO;STARTLAB;N/A;ARMARIO 2;PRATELEIRA 3;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;0;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;RESPONSÁVEL TÉCNICO - RT / APRS;;;;;;;;;
